Algorithm,Compressed size,Compression speed,Dataset,Decompression speed,Deltas,Filename,Memlimit,MinIters,Nbits,Order,Original size,Ratio
SprintzXff -79,41920012,377.42,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u8_ratio=4.dat,2566.6,False,/synthetic/synth_100M_u8_ratio=4.dat,-1,10,8,c,100000000,41.92
SprintzXff -80,41961452,390.81,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u8_ratio=4.dat,2623.33,False,/synthetic/synth_100M_u8_ratio=4.dat,-1,10,8,c,100000000,41.96
SprintzDelta -1,212499241,456.69,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u16_ratio=1.dat,479.02,False,/synthetic/synth_100M_u16_ratio=1.dat,-1,10,8,c,200000000,106.25
SprintzDelta -2,212499250,534.37,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u16_ratio=1.dat,809.67,False,/synthetic/synth_100M_u16_ratio=1.dat,-1,10,8,c,200000000,106.25
SprintzDelta -3,212499205,625.14,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u16_ratio=1.dat,1101.61,False,/synthetic/synth_100M_u16_ratio=1.dat,-1,10,8,c,200000000,106.25
SprintzDelta -4,209374214,662.44,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u16_ratio=1.dat,1343.4,False,/synthetic/synth_100M_u16_ratio=1.dat,-1,10,8,c,200000000,104.69
SprintzDelta -5,210000008,388.53,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u16_ratio=1.dat,874.57,False,/synthetic/synth_100M_u16_ratio=1.dat,-1,10,8,c,200000000,105.0
SprintzDelta -6,210416673,413.67,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u16_ratio=1.dat,1021.52,False,/synthetic/synth_100M_u16_ratio=1.dat,-1,10,8,c,200000000,105.21
SprintzDelta -7,210714292,440.04,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u16_ratio=1.dat,1207.56,False,/synthetic/synth_100M_u16_ratio=1.dat,-1,10,8,c,200000000,105.36
SprintzDelta -8,209375008,578.55,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u16_ratio=1.dat,1419.95,False,/synthetic/synth_100M_u16_ratio=1.dat,-1,10,8,c,200000000,104.69
SprintzDelta -9,209722224,538.6,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u16_ratio=1.dat,1345.07,False,/synthetic/synth_100M_u16_ratio=1.dat,-1,10,8,c,200000000,104.86
SprintzDelta -10,210000008,532.05,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u16_ratio=1.dat,1465.95,False,/synthetic/synth_100M_u16_ratio=1.dat,-1,10,8,c,200000000,105.0
SprintzDelta -11,210227275,553.35,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u16_ratio=1.dat,1641.5,False,/synthetic/synth_100M_u16_ratio=1.dat,-1,10,8,c,200000000,105.11
SprintzDelta -12,209375002,549.1,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u16_ratio=1.dat,1767.18,False,/synthetic/synth_100M_u16_ratio=1.dat,-1,10,8,c,200000000,104.69
SprintzDelta -13,209615388,590.08,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u16_ratio=1.dat,1846.4,False,/synthetic/synth_100M_u16_ratio=1.dat,-1,10,8,c,200000000,104.81
SprintzDelta -14,209821435,594.12,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u16_ratio=1.dat,1998.6,False,/synthetic/synth_100M_u16_ratio=1.dat,-1,10,8,c,200000000,104.91
SprintzDelta -15,210000004,584.6,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u16_ratio=1.dat,2145.16,False,/synthetic/synth_100M_u16_ratio=1.dat,-1,10,8,c,200000000,105.0
SprintzDelta -16,209375008,636.32,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u16_ratio=1.dat,2304.67,False,/synthetic/synth_100M_u16_ratio=1.dat,-1,10,8,c,200000000,104.69
SprintzDelta -17,209558830,574.01,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u16_ratio=1.dat,2069.83,False,/synthetic/synth_100M_u16_ratio=1.dat,-1,10,8,c,200000000,104.78
SprintzDelta -18,209722224,561.89,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u16_ratio=1.dat,2189.28,False,/synthetic/synth_100M_u16_ratio=1.dat,-1,10,8,c,200000000,104.86
SprintzDelta -19,209868418,592.67,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u16_ratio=1.dat,2396.68,False,/synthetic/synth_100M_u16_ratio=1.dat,-1,10,8,c,200000000,104.93
SprintzDelta -20,209375008,604.83,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u16_ratio=1.dat,2425.72,False,/synthetic/synth_100M_u16_ratio=1.dat,-1,10,8,c,200000000,104.69
SprintzDelta -21,209523816,636.34,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u16_ratio=1.dat,2535.36,False,/synthetic/synth_100M_u16_ratio=1.dat,-1,10,8,c,200000000,104.76
SprintzDelta -22,209659085,620.24,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u16_ratio=1.dat,2633.07,False,/synthetic/synth_100M_u16_ratio=1.dat,-1,10,8,c,200000000,104.83
SprintzDelta -23,209782612,625.88,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u16_ratio=1.dat,2602.7,False,/synthetic/synth_100M_u16_ratio=1.dat,-1,10,8,c,200000000,104.89
SprintzDelta -24,209375002,643.36,RAW_PATH:/Users/davis/Desktop/datasets/compress/synthetic/synth_100M_u16_ratio=1.dat,2812.75,False,/synthetic/synth_100M_u16_ratio=1.dat,-1,10,8,c,200000000,104.69
