Algorithm,Compressed size,Compression speed,Dataset,Decompression speed,Filename,Memlimit,MinIters,Nbits,Order,Original size,Preprocs,Ratio
SprintzXff -1,58824,225.39,ucr,230.5,/rowmajor/uint8/ucr/MoteStrain.dat,1,0,8,c,113203,None,51.96
SprintzDelta_Huf -1,57680,91.87,ucr,154.76,/rowmajor/uint8/ucr/MoteStrain.dat,1,0,8,c,113203,None,50.95
SprintzXff_Huf -1,58444,62.17,ucr,104.85,/rowmajor/uint8/ucr/MoteStrain.dat,1,0,8,c,113203,None,51.63
SprintzDelta -1,398389,272.83,ucr,206.82,/rowmajor/uint8/ucr/wafer.dat,1,0,8,c,1124743,None,35.42
SprintzXff -1,404087,204.21,ucr,214.97,/rowmajor/uint8/ucr/wafer.dat,1,0,8,c,1124743,None,35.93
SprintzDelta_Huf -1,300188,103.82,ucr,134.17,/rowmajor/uint8/ucr/wafer.dat,1,0,8,c,1124743,None,26.69
SprintzXff_Huf -1,306894,102.04,ucr,136.87,/rowmajor/uint8/ucr/wafer.dat,1,0,8,c,1124743,None,27.29
SprintzDelta -1,104727,242.88,ucr,296.75,/rowmajor/uint8/ucr/Worms.dat,1,0,8,c,233485,None,44.85
SprintzXff -1,105869,182.03,ucr,120.11,/rowmajor/uint8/ucr/Worms.dat,1,0,8,c,233485,None,45.34
SprintzDelta_Huf -1,105380,57.13,ucr,211.21,/rowmajor/uint8/ucr/Worms.dat,1,0,8,c,233485,None,45.13
SprintzXff_Huf -1,106089,70.07,ucr,137.65,/rowmajor/uint8/ucr/Worms.dat,1,0,8,c,233485,None,45.44
SprintzDelta -1,52925,172.52,ucr,152.25,/rowmajor/uint8/ucr/ProximalPhalanxOutlineCorrect.dat,1,0,8,c,75730,None,69.89
SprintzXff -1,48937,121.09,ucr,124.86,/rowmajor/uint8/ucr/ProximalPhalanxOutlineCorrect.dat,1,0,8,c,75730,None,64.62
SprintzDelta_Huf -1,52647,40.44,ucr,88.05,/rowmajor/uint8/ucr/ProximalPhalanxOutlineCorrect.dat,1,0,8,c,75730,None,69.52
